Asset #,Asset Description,Category Description,Sub-Category Description,Status Description,Site,Building,Location,Account Description,Location Description,Manufacturer Name,Model Number,Manufacturer Serial Number,Date Accepted,Cost Basis,Warranty End Date,
1071386,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60356,5-29-24 12:00 AM,,,
1071387,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60357,5-29-24 12:00 AM,,,
1071388,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60358,5-29-24 12:00 AM,,,
1071389,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60359,5-29-24 12:00 AM,,,
1071390,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60360,5-29-24 12:00 AM,,,
1071391,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60361,5-29-24 12:00 AM,,,
1071392,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60362,5-29-24 12:00 AM,,,
1071393,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60363,5-29-24 12:00 AM,,,
1071395,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60354,5-29-24 12:00 AM,,,
1071396,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe,TA24150025SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071397,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60349,5-29-24 12:00 AM,,,
1071398,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe,TAA24150028SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071399,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe,TAA24150023SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071400,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe,TAA24150022SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071401,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe,TAA24150029SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071402,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,16M,Mother & Baby,Mother & Baby,GE Healthcare,Giraffe,TAA24150026SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071403,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60351,5-29-24 12:00 AM,,,
1071404,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60352,5-29-24 12:00 AM,,,
1071405,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,16M,Mother & Baby,Mother & Baby,GE Healthcare,Giraffe,TAA24150027SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071406,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,16M,Mother & Baby,Mother & Baby,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60348,5-29-24 12:00 AM,,,
1071407,"Incubators, Infant, Mobile",Incubators,"Incubators, Infant, Mobile",Active,MSH,MSH,16M,Mother & Baby,Mother & Baby,GE Healthcare,Giraffe,TAA24150024SA,5-29-24 12:00 AM,25466.40,5-29-25 12:00 AM,
1071408,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,16M,Mother & Baby,Mother & Baby,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60350,5-29-24 12:00 AM,,,
1071409,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60353,5-29-24 12:00 AM,,,
1071410,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,GE Healthcare,Giraffe Blue Spot PT Lite,QAAD60345,5-29-24 12:00 AM,,,
1071432,"Warming Units, Patient, Forced-Air",Warming Units,"Warming Units, Patient, Forced-Air",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,STRYKER CORP,MA1200-PM,230756169,5-30-24 12:00 AM,,,
1071464,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002021,4-12-17 12:00 AM,,,
1071465,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45001894,4-12-17 12:00 AM,,,
1071467,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45001599,4-12-17 12:00 AM,,,
1071477,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002116,4-12-17 12:00 AM,,,
1071478,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002089,4-12-17 12:00 AM,,,
1071479,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45001968,4-12-17 12:00 AM,,,
1071481,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002026,4-12-17 12:00 AM,,,
1071482,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45004485,4-12-17 12:00 AM,,,
1071483,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002071,4-12-17 12:00 AM,,,
1071484,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002025,4-12-17 12:00 AM,,,
1071504,"BLOOD FLOW DETECTORS, ULTRASONIC",BLOOD FLOW DETECTORS,"BLOOD FLOW DETECTORS, ULTRASONIC",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,Antenatal,NICOLET BIOMEDICAL INSTRUMENTS,Elite 200,ECO1497,8-5-14 12:00 AM,750.00,8-5-14 12:00 AM,
1071516,"Printers, Video",PRINTERS,"Printers, Video",Active,MSH,IVF-Dundas,7,IVF Clinic,7th Floor ,SONY MEDICAL ELECTRONICS DIV,UP-25MD,726715,6-17-24 12:00 AM,,,
1071527,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,MSH,5,JDMI - Ultrasound,US,Canon,TUS-A500 - Aplio 500,W1E13X4656,10-23-12 12:00 AM,0.00,,
1071529,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,4,Preadmission Clinic,4,STRYKER CORP,1115000030,0062000002494,6-19-24 12:00 AM,,6-19-25 12:00 AM,
1071530,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,4,Preadmission Clinic,4,STRYKER CORP,1115000030,0062000002495,6-19-24 12:00 AM,,6-19-25 12:00 AM,
1071531,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,4,Preadmission Clinic,4,STRYKER CORP,1115000030,0062000002496,6-19-24 12:00 AM,,6-19-25 12:00 AM,
1071532,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,4,Preadmission Clinic,4,STRYKER CORP,1115000030,0062000002497,6-19-24 12:00 AM,,6-19-25 12:00 AM,
1071571,"Monitors, Physiologic, Multipurpose, Bedside","Monitors, Physiologic","Monitors, Physiologic, Multipurpose, Bedside",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,866064 - MX500,DE7580A88B,6-27-24 12:00 AM,,6-27-25 12:00 AM,
1071572,"Monitors, Physiologic, Multipurpose, Bedside","Monitors, Physiologic","Monitors, Physiologic, Multipurpose, Bedside",Active,MSH,MSH,3,Emergency,Emergency,Philips Healthcare,866064 - MX500,DE7580A88D,6-27-24 12:00 AM,,6-27-25 12:00 AM,
1071573,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,1,Central Dispatch,Support Services,STRYKER CORP,1115000026,0066000002805,6-27-24 12:00 AM,,10-13-25 12:00 AM,
1071574,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,1,Central Dispatch,Support Services,STRYKER CORP,1115000030,0067000011480,6-27-24 12:00 AM,,10-13-25 12:00 AM,
1071575,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,1,Central Dispatch,Support Services,STRYKER CORP,1115000030,0067000011479,6-27-24 12:00 AM,,10-13-25 12:00 AM,
1071576,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,1,Central Dispatch,Support Services,STRYKER CORP,1115000026,0066000002804,6-27-24 12:00 AM,,10-13-25 12:00 AM,
1071578,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600152,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071579,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600140,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071580,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600157,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071581,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600151,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071582,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600143,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071583,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600154,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071584,"Laryngoscopes, Flexible, Video",SH Laryngoscopes ,"Laryngoscopes, Flexible, Video",Active,MSH,MSH,15U,Resp Therapy (Anesthesia),L&D OR,KARL STORZ Endoscopy Canada Ltd,C-MAC 8404ZX,XM9438,7-2-24 12:00 AM,,7-2-25 12:00 AM,
1071585,"Laryngoscopes, Flexible, Video",SH Laryngoscopes ,"Laryngoscopes, Flexible, Video",Active,MSH,MSH,15U,Resp Therapy (Anesthesia),L&D OR,KARL STORZ Endoscopy Canada Ltd,C-MAC 8404ZX,YM9549,7-2-24 12:00 AM,,7-2-25 12:00 AM,
1071586,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600136,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071587,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,STRYKER CORP,1115000026,2022006600147,1-11-21 12:00 AM,,1-11-22 12:00 AM,
1071588,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15906EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071589,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15902EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071590,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15927EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071591,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15920EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071592,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15922EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071593,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15945EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071594,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15904EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071601,"Lights, Examination, Ceiling-Mounted",Lights,"Lights, Examination, Ceiling-Mounted",Active,MSH,MSH,3,Emergency,Emergency,MAQUET SAS A Getinge Group Co,Lucea50-LCA50,501642,7-1-24 12:00 AM,,,
1071602,"Lights, Examination, Ceiling-Mounted",Lights,"Lights, Examination, Ceiling-Mounted",Active,MSH,MSH,3,Emergency,Emergency,MAQUET SAS A Getinge Group Co,Lucea50-LCA50,502099,7-1-24 12:00 AM,,,
1071620,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15M,Nursing 15 Murray/Antenatal,Antenatal,Philips Healthcare,M2736A,DE43389270,10-14-14 12:00 AM,,,
1071645,Stretchers,Stretchers,Stretchers,Active,MSH,MSH,1,Central Dispatch,Support Services,STRYKER CORP,1125000030,0072000000918,7-9-24 12:00 AM,,10-20-24 12:00 AM,
1071650,"Thermometers, Electronic",Thermometers,"Thermometers, Electronic",Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,692-Sure Temp Plus,20334776,3-19-20 12:00 AM,,3-19-22 12:00 AM,
1071651,"Thermometers, Electronic",Thermometers,"Thermometers, Electronic",Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,692-Sure Temp Plus,20322973,3-19-20 12:00 AM,,3-19-22 12:00 AM,
1071652,"Thermometers, Electronic",Thermometers,"Thermometers, Electronic",Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,692-Sure Temp Plus,20322940,3-19-20 12:00 AM,,3-19-22 12:00 AM,
1071653,"Thermometers, Electronic",Thermometers,"Thermometers, Electronic",Active,MSH,MSH,3,Emergency,Emergency,Welch Allyn,692-Sure Temp Plus,20322968,3-19-20 12:00 AM,,3-19-22 12:00 AM,
1071656,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15925EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071657,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15923EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071658,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Ophthalmoscope/Otoscopes,Active,MSH,MSH,3,Emergency,Emergency,Amico,DS-UDM-2,DS15905EK,9-14-23 12:00 AM,,9-14-30 12:00 AM,
1071669,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,17M,Nursing 14N Surgery,17th Floor - Murray,MASIMO,V5000S-25107,MXL22628MZ,7-19-21 12:00 AM,,7-7-22 12:00 AM,
1071715,"Carts, Medication",Carts,"Carts, Medication",Active,MSH,MSH,1,Biomedical Engineering,1st Floor,Capsa Healthcare,Carelink Mobile Nurse Station - 207010,21-013700-M48,12-7-22 12:00 AM,,,
1071739,"Scalers, Dental, Ultrasonic",Scalers,"Scalers, Dental, Ultrasonic",Active,MSH,MSH,4,Dental Clinic,Dentistry,CAULK DENTSPLY,GEN-136,G136-115792,8-6-24 12:00 AM,1736.21,,
1071743,"Laryngoscopes, Flexible, Video",SH Laryngoscopes ,"Laryngoscopes, Flexible, Video",Active,MSH,MSH,15U,Resp Therapy (Anesthesia),L&D OR,KARL STORZ Endoscopy Canada Ltd,C-MAC 8404ZX,YM9561,8-6-24 12:00 AM,,8-2-25 12:00 AM,
1071749,"Scanning Systems, Ultrasonic, Bladder","SH Scanning Systems, Ultrasonic","Scanning Systems, Ultrasonic, Bladder",Active,RCC,RCC,RCC,RCC,2WF,Verathon Medical,BladderScan i10,CT242780,7-31-24 12:00 AM,,,
1071750,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,10N,Bridgepoint,10th Floor - North Side,Welch Allyn,74MT,100002124423,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071751,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,9S,Bridgepoint,9th Floor - South Side,Welch Allyn,74MT,100002154423,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071752,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,9S,Bridgepoint,9th Floor - South Side,Welch Allyn,74MT,100009512524,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071753,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100013482624,7-31-24 12:00 AM,,,
1071754,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100013332624,7-31-24 12:00 AM,,,
1071755,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100013522624,7-31-24 12:00 AM,,,
1071756,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100013192624,7-31-24 12:00 AM,,,
1071757,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100013462624,7-31-24 12:00 AM,,,
1071758,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100051941824,7-31-24 12:00 AM,,,
1071759,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100012282624,7-31-24 12:00 AM,,,
1071760,"Monitors, Physiologic, Vital Signs","SH Monitors, Physiologic","Monitors, Physiologic, Vital Signs",Active,RCC,RCC,RCC,RCC,2WF,Welch Allyn,75MT,100002372524,7-31-24 12:00 AM,,,
1071761,"Defibrillators, External, Automated",Defibrillators,"Defibrillators, External, Automated",Active,RCC,RCC,RCC,RCC,2WF,ZOLL Canada,AED-3,AX24B266924,8-2-24 12:00 AM,,8-6-25 12:00 AM,
1071766,Microscopes,Microscopes,Microscopes,Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,3rd Floor,not found,,1,9-8-17 12:00 AM,,,
1071767,Microscopes,Microscopes,Microscopes,Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,3rd Floor,not found,,1,9-8-17 12:00 AM,,,
1071768,Microscopes,Microscopes,Microscopes,Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,3rd Floor,not found,,1,9-8-17 12:00 AM,,,
1071769,Microscopes,Microscopes,Microscopes,Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,3rd Floor,not found,,1,9-8-17 12:00 AM,,,
1071774,"Thermometers, Electronic, Thermistor/Thermocouple, Patient",Thermometers,"Thermometers, Electronic, Thermistor/Thermocouple, Patient",Active,MSH,MSH,16N,Express Admission Unit,16th Floor - North Side,Cardinal Health Canada Inc,Filac 3000 AD,A2065155X,1-10-20 12:00 AM,249.00,1-10-23 12:00 AM,
1071775,"Scales, Patient",SH Scales,"Scales, Patient",Active,MSH,MSH,3,Emergency,Emergency,HEALTH O METER INC,500KL,5000224256908,8-8-24 12:00 AM,,8-8-26 12:00 AM,
1071777,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,MSH,18,Heart Function Clinic,Heart Function Clinic,Microlife Corp,WatchBP office,2022-07-1400381,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071778,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,MSH,18,Heart Function Clinic,Heart Function Clinic,Microlife Corp,WatchBP office,2022-07-1400334,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071779,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,MSH,18,Heart Function Clinic,Heart Function Clinic,Microlife Corp,WatchBP office,2022-07-1400386,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071780,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,MSH,18,Heart Function Clinic,Heart Function Clinic,Microlife Corp,WatchBP office,2022-07-1400382,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071781,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-05-2700469,10-22-24 12:00 AM,,10-22-25 12:00 AM,
1071782,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-07-1400330,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071783,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-05-2700501,10-22-24 12:00 AM,,10-22-25 12:00 AM,
1071784,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-07-1400326,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071785,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-05-2700215,10-22-24 12:00 AM,,10-22-25 12:00 AM,
1071786,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-07-1400388,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071787,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-05-2700212,10-22-24 12:00 AM,,10-22-25 12:00 AM,
1071788,NIBP MONITOR,NIBP MONITOR,NIBP MONITOR,Active,MSH,60MURR,4,Leadership Sinai Center For Diabetes,Leadership Sinai Center For Diabetes,Microlife Corp,WatchBP office,2022-07-1400384,8-7-24 12:00 AM,,8-7-25 12:00 AM,
1071827,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,8S,Bridgepoint,8th Floor - South Side,Welch Allyn,74MT,100009242524,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071828,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,8S,Bridgepoint,8th Floor - South Side,Welch Allyn,74MT,100009342524,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071829,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,BH,BH,8S,Bridgepoint,8th Floor - South Side,Welch Allyn,74MT,100009492524,11-28-23 12:00 AM,,2-15-20 12:00 AM,
1071842,"Lights, Surgical, Ceiling-Mounted",SH Lights,"Lights, Surgical, Ceiling-Mounted",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 1,TRUMPF Medizin Systeme GmbH + Co KG,iLED 7,Surgical Lights - OR 1,3-29-21 12:00 AM,,,
1071843,"Lights, Surgical, Ceiling-Mounted",SH Lights,"Lights, Surgical, Ceiling-Mounted",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 2,TRUMPF Medizin Systeme GmbH + Co KG,iLED 7,Surgical Lights - OR 2,3-29-21 12:00 AM,,,
